MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"NGC    54" "" "NGC    54|6dFGS gJ001507.7-070624|GSC 04670-00994|IRAS F00125-0723|LEDA    1011|2MASX J00150767-0706243|MCG-01-01-060|NVSS J001507-070622|[CHM2007] LDC   10 J001507.67-0706243|[CHM2007] HDC    9 J001507.67-0706243" "NGC 54" "" "" "00 15 07.674" "-07 06 24.39" "Emission-line galaxy" "" "" 0.0176990 ""
"NGC    55" "" "NGC    55|APMBGC 293-132-031|DUGRS 293-001|ESO 293-50|ESO-LV 293-0500|HIPASS J0015-39|IRAS F00124-3929|IRAS 00125-3928|LEDA    1014|2MASX J00145360-3911478|MCG-07-01-013|NVSS J001458-391227|PMN J0014-3912|PSCz Q00125-3928|SB 968|SGC 001238-3929.9|SPB   2|SUMSS J001458-391226|[CAB95] IRAS F00124-3929|[CHM2007] LDC   26 J001453.60-3911478|[KS86] G0012-3930|[M98c] 001238.0-392954|[MI94] Sm   3|[VDD93]   1" "NGC 55" "" "" "00 14 53.602" "-39 11 47.86" "Galaxy in Group of Galaxies" "" "" 0.0004300 7.869999885559082
"NGC    56" "" "NGC    56" "NGC 56" "" "" "00 15.4" "+12 27" "Object of unknown nature" "" "" "" ""
"NGC    57" "" "NGC    57|LEDA    1037|2MASX J00153087+1719422|MCG+03-01-031|SDSS J001530.91+171942.3|UGC   145|UZC J001530.9+171943|Z 456-46|Z 0012.9+1703|[CHM2007] LDC   11 J001530.87+1719422|[PVK2003] 003.87917 +17.32667|[ZEH2003] RX J0015.5+1720  1" "NGC 57" "" "" "00 15 30.873" "+17 19 42.22" "Galaxy in Group of Galaxies" "" "" 0.0181130 ""
"NGC    59" "" "NGC    59|APMBGC 539+099+088|6dFGS gJ001525.1-212640|ESO 539-4|ESO-LV 539-0040|GSC 05845-00034|IRAS F00129-2143|LEDA    1034|2MASX J00152512-2126396|MBG 00129-2143|MCG-04-01-026|SGC 001253-2143.3|[CHM2007] LDC   26 J001525.12-2126396|[CHM2007] HDC    7 J001525.12-2126396|[KK98a]   2|[KK98a] 001253.5-214317" "NGC 59" "" "" "00 15 25.126" "-21 26 39.68" "Galaxy in Group of Galaxies" "" "" 0.0012240 12.59000015258789
"NGC    60" "" "NGC    60|6dFGS gJ001558.2-001813|ISI96 0013-0034|LEDA    1058|2MASX J00155824-0018130|MCG+00-01-048|SDSS J001558.24-001812.6|UGC   150|UZC J001558.2-001813|Z 382-37|Z 0013.4-0034|[VV2010c] J001558.2-001812" "NGC 60" "" "" "00 15 58.248" "-00 18 13.06" "LINER-type Active Galaxy Nucleus" "" "" 0.0394000 14.859999656677246
"NGC    61" "" "NGC    61|VV  742" "NGC 61" "" "" "00 16 24.3" "-06 19 08" Galaxy "" "" "" ""
MCG-01-01-062 "" "MCG-01-01-062|6dFGS gJ001624.3-061919|LEDA    1083|2MASX J00162433-0619186|NGC    61A|NVSS J001624-061916|[PCM2000] 14" "NGC 61A" "" "" "00 16 24.332" "-06 19 18.70" "Galaxy in Group of Galaxies" "" "" 0.0269190 ""
MCG-01-01-063 "" "MCG-01-01-063|LEDA    1085|NGC    61B" "NGC 61B" "" "" "00 16 24.2" "-06 19 02" "Galaxy in Group of Galaxies" "" "" 0.0268660 ""
"NGC    62" "" "NGC    62|6dFGS gJ001705.4-132914|GSC 05267-01015|IRAS F00145-1345|IRAS 00145-1345|LEDA    1125|2MASX J00170541-1329138|MBG 00146-1345|MCG-02-01-043" "NGC 62" "" "" "00 17 05.420" "-13 29 13.80" Galaxy "" "" 0.0217990 ""
"NGC    63" "" "NGC    63|IRAS 00151+1110|LEDA    1160|2MASX J00174552+1127012|MCG+02-01-030|PSCz Q00151+1110|UGC   167|UZC J001745.4+112701|Z 433-42|Z 0015.1+1110|[M98c] 001510.8+111018" "NGC 63" "" "" "00 17 45.526" "+11 27 01.29" Galaxy "" "" 0.0038830 ""
"NGC    64" "" "NGC    64|AGC 400180|6dFGS gJ001730.4-064929|ISOSS J00175-0649|LEDA    1149|2MASX J00173036-0649286|NVSS J001731-064925|[SLK2004] 38" "NGC 64" "" "" "00 17 30.368" "-06 49 28.69" "Emission-line galaxy" "" "" 0.0246850 ""
"NGC    65" "" "NGC    65|APMBGC 473+067-103|ESO 473-10A|ESO-LV 473-2100|LEDA    1229|2MASX J00185872-2252491|MCG-04-02-001|SGC 001628-2309.5|[CHM2007] LDC   16 J001858.72-2252491|[CHM2007] HDC   13 J001858.72-2252491" "NGC 65" "" "" "00 18 58.728" "-22 52 49.16" "Galaxy in Group of Galaxies" "" "" 0.0244940 ""
"NGC    66" "" "NGC    66|APMBGC 473+066-100|6dFGS gJ001904.9-225611|DUGRS 473-001|ESO 473-10|ESO-LV 473-0100|GSC 06413-00153|GSC 06413-00134|IRAS 00165-2312|IRAS F00165-2312|LEDA    1236|2MASX J00190494-2256111|MCG-04-02-002|NVSS J001904-225610|PSCz Q00165-2312|SGC 001633-2312.9|[CHM2007] LDC   16 J001904.94-2256111|[CHM2007] HDC   13 J001904.94-2256111" "NGC 66" "" "" "00 19 04.949" "-22 56 11.18" "Emission-line galaxy" "" "" 0.0253680 ""
"NGC    67" "" "NGC    67|Ark   4|DOC SRGb062.48|LEDA    1185|2MASX J00181481+3003475|MCG+05-01-064|RASSCALS SRGb062.048|VV  166f|Z 499-104|Z 0015.6+2947" "NGC 67" "" "" "00 18 14.817" "+30 03 47.57" "Galaxy in Group of Galaxies" "" "" 0.0223850 ""
"NGC    67A" "" "NGC    67A" "NGC 67A" "" "" "" "" Galaxy "" "" "" ""
"NGC    68" "" "NGC    68|DOC SRGb062.52|LEDA    1187|MAPS-PP O-1257-202235C|2MASX J00181851+3004185|MCG+05-01-065|RASSCALS SRGb062.052|UGC   170|UZC J001818.4+300418|VV  166|VV  166b|Z 499-106|Z 0015.7+2948" "NGC 68" "" "" "00 18 18.515" "+30 04 18.56" "Galaxy in Group of Galaxies" "" "" 0.0191300 ""
"NGC    69" "" "NGC    69|Ark   5|DOC SRGb062.54|LEDA    1191|MAPS-PP O-1257-213261|2MASX J00182051+3002235|MCG+05-01-066|NPM1G +29.0011|RASSCALS SRGb062.054|VV  166e|Z 499-105|Z 0015.7+2946" "NGC 69" "" "" "00 18 20.516" "+30 02 23.56" "Galaxy in Group of Galaxies" "" "" 0.0222900 ""
