MAIN_ID ID_NAME ID_HD ID_NGC RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"HD  10800" "" "HD 10800" "" "01 37 55.5638" "-82 58 29.988" "Spectroscopic binary" G1V 36.520 -0.0000040 5.869999885559082
"HD  10513" "" "HD 10513" "" "01 41 34.0969" "-45 25 10.233" "High proper-motion Star" G5V 12.230 -0.0000150 9.3100004196167
"* 107 Psc" "" "HD 10476" "" "01 42 29.7617" "+20 16 06.601" "High proper-motion Star" K1V 132.760 -0.0001130 5.239999771118164
"* 107 Psc" "" "HD 10476" "" "01 42 29.7617" "+20 16 06.601" "High proper-motion Star" K1V 132.760 -0.0001130 5.239999771118164
"HD  10436" "" "HD 10436" "" "01 43 40.7245" "+63 49 24.239" "High proper-motion Star" K5Vbe 73.650 -0.0001700 8.40999984741211
"LHS  1290" "" "" "" "01 43 20.1791" "+04 19 17.960" "High proper-motion Star" M2V 89.200 -0.0000860 10.914999961853027
"* tau Cet" "" "HD 10700" "" "01 44 04.0833" "-15 56 14.926" "High proper-motion Star" G8V 273.960 -0.0000560 3.5
"* tau Cet" "" "HD 10700" "" "01 44 04.0833" "-15 56 14.926" "High proper-motion Star" G8V 273.960 -0.0000560 3.5
"* 109 Psc" "" "HD 10697" "" "01 44 55.8248" "+20 04 59.338" "High proper-motion Star" G3Va 30.700 -0.0001520 6.2789998054504395
"Wolf 1530" "" "" "" "01 44 58.52" "+16 20 39.7" "High proper-motion Star" M4V 79.700 -0.0001230 14.125
"HD  10853" "" "HD 10853" "" "01 46 38.7174" "+12 24 42.385" "High proper-motion Star" K3.5V 41.700 0.0000720 8.890000343322754
"HD  10780" "" "HD 10780" "" "01 47 44.8345" "+63 51 09.004" "Variable of BY Dra type" K0V 99.330 0.0000090 5.630000114440918
"HD  11020" "" "HD 11020" "" "01 47 38.3809" "-26 45 00.083" "High proper-motion Star" G9V 22.800 0.0000760 8.979999542236328
"HD  11112" "" "HD 11112" "" "01 48 20.5830" "-41 29 42.239" "Double or multiple star" G3V 22.500 0.0001210 7.130000114440918
"Ross  555" "" "" "" "01 51 48.6857" "-10 48 12.493" "High proper-motion Star" M3.5 60.360 0.0000000 11.791000366210938
"* alf Tri" "NAME Mothallah" "HD 11443" "" "01 53 04.9071" "+29 34 43.780" "Spectroscopic binary" F5III 51.500 -0.0000420 3.4200000762939453
"HD  11507" "" "HD 11507" "" "01 52 49.1726" "-22 26 05.489" "Flare Star" M0V 90.460 0.0000430 8.883000373840332
"* bet Ari" "NAME Sheratan" "HD 11636" "" "01 54 38.4109" "+20 48 28.913" "Spectroscopic binary" kA4hA5mA5Va 55.600 -0.0000100 2.6500000953674316
"* chi Eri" "" "HD 11937" "" "01 55 57.4721" "-51 36 32.032" "High proper-motion Star" G8IIIbCNIV 56.020 -0.0000210 3.700000047683716
"HD  11964" "" "HD 11964A" "" "01 57 09.6076" "-10 14 32.733" "High proper-motion Star" G9VCN+1 30.440 -0.0000310 6.420000076293945
"HD  11964B" "" "HD 11964B" "" "01 57 11.055" "-10 14 53.31" "High proper-motion Star" M0.0Ve "" -0.0000330 10.5600004196167
"HD  12058" "" "HD 12058" "" "01 56 32.4939" "-60 13 35.896" "High proper-motion Star" K4.5Vk: 49.740 0.0000010 8.607999801635742
"HD  12042" "" "HD 12042" "" "01 56 59.9849" "-51 45 58.486" "High proper-motion Star" F8.5Fe-0.7 37.220 0.0000120 6.099999904632568
"Ross   15" "" "" "" "01 59 23.5136" "+58 31 16.105" "Flare Star" M4Ve 76.540 -0.0000330 12.154999732971191
"HD  12051" "" "HD 12051" "" "01 59 06.6334" "+33 12 34.859" "High proper-motion Star" G9V 40.530 -0.0001170 7.139999866485596
"* alf Hyi" "" "HD 12311" "" "01 58 46.1946" "-61 34 11.494" "High proper-motion Star" F0IV 45.430 0.0000290 2.8399999141693115
"GJ    83.1" "" "" "" "02 00 12.959" "+13 03 07.01" "Flare Star" M4.5V 222.000 -0.0000940 12.29800033569336
